PHIX,MBVI,MPHI,Swirr_PHIX
0.3614383,0.20493,0.28435,0.5669847384740355
0.3927032,0.19333,0.26721,0.49230563947530864
0.3801103,0.17909,0.24937,0.4711527154091852
0.3686712,0.16904,0.23861,0.4585115409069111
0.3542536,0.15899,0.22785,0.44880277857444495
0.3512973,0.13585,0.20483,0.38670949079312594
0.3495563,0.12437,0.19158,0.3557939021553896
0.3529477,0.12904,0.18723,0.3656065757051257
0.3645627,0.14178,0.18892,0.3889042954750993
0.3682527,0.143328,0.18919,0.3892109956016616
0.3628001,0.144875,0.18946,0.3993245867352297
0.3677386,0.14797,0.19,0.4023782110444756
0.3643528,0.14064,0.18393,0.38599950377765724
0.3666799,0.12919,0.17269,0.35232364795561466
0.3589143,0.13997,0.17404,0.3899816752912882
0.3590059,0.145545,0.17671,0.4054111645518918
0.3682734,0.15112,0.17938,0.41034731262154694
0.3656557,0.16349,0.18771,0.4471145944121752
0.3464671,0.16816,0.197,0.485356329648616
0.3481755,0.17366,0.20973,0.49877145290234376
0.339873,0.18223,0.22477,0.5361708638226632
0.3451636,0.18545,0.230845,0.5372814514624369
0.3354975,0.18867,0.23692,0.5623588849395301
0.3359247,0.19882,0.24677,0.5918588302676164
0.336072,0.20592,0.25288,0.612725844461901
0.3359208,0.20973,0.25495,0.6243435952760293
0.335383,0.21543,0.25438,0.6423402498039555
0.3355523,0.21747,0.255245,0.6480956917893276
0.3355378,0.21951,0.25611,0.6542034906350344
0.3350571,0.22627,0.26922,0.6753177294258202
0.3339609,0.23742,0.29211,0.7109215480015774
0.3530249,0.24541,0.31093,0.6951634289819217
0.380763,0.24516,0.31752,0.6438650814286051
0.3906967,0.2431,0.31787,0.6222217899460118
0.3909688,0.24104,0.31822,0.6165197836758329
0.3843835,0.23704,0.31322,0.6166757938361038
0.36903,0.23574,0.30443,0.6388098528574913
0.3555331,0.23979,0.30186,0.6744519708572845
0.3571074,0.23454,0.29734,0.6567772048408965
0.3514806,0.227,0.2922,0.6458393436223793
0.3920128,0.21946,0.28706,0.5598286586560438
0.3932187,0.19317,0.26974,0.49125334069819165
0.3890053,0.18805,0.27079,0.4834124367971336
0.3847991,0.18877,0.28362,0.4905676754441473
0.3883904,0.18798,0.29171,0.48399754473848994
0.3923721,0.18719,0.2998,0.47707265628723344
0.3954076,0.17243,0.31462,0.43608165346341343
0.403827,0.14467,0.32323,0.35824746735607077
0.403604,0.12202,0.32546,0.30232604235835125
0.4030384,0.11545,0.32873,0.2864491323903628
0.3942149,0.113875,0.33141,0.2888652864211881
0.3961026,0.1123,0.33409,0.28351240309960096
0.405446,0.10877,0.33584,0.268272470316639
0.4073308,0.11238,0.33461,0.2758936962292073
0.3989212,0.10865,0.33069,0.27235955371637305
0.3887971,0.09323,0.32701,0.23979088321389228
0.3969396,0.090155,0.327725,0.2271252351743187
0.4051321,0.08708,0.32844,0.21494223735912313
0.4059049,0.08531,0.33053,0.2101723827428543
0.4059703,0.08378,0.33347,0.20636977631122275
0.4085252,0.08903,0.34102,0.21793025252787343
0.4117213,0.0936,0.34825,0.2273382504135686
0.4083449,0.099235,0.35294,0.24301760595026412
0.4076104,0.10487,0.35763,0.25727999089326475
0.4112067,0.12775,0.37168,0.3106710080356181
0.4109954,0.14199,0.37969,0.3454783192220643
0.4047734,0.14719,0.38066,0.3636355551031762
0.3884389,0.15113,0.37827,0.38907019868504417
0.3680532,0.15407,0.37266,0.4186079621098254
0.3802987,0.15701,0.36705,0.41285968108752413
0.3876076,0.16724,0.35052,0.4314672880511115
0.382759,0.17573,0.33881,0.45911395943661676
0.3672721,0.18975,0.33488,0.5166469219959806
0.3674494,0.20427,0.33383,0.5559132767668148
0.3658887,0.20826,0.33446,0.5691894830313152
0.3513979,0.21225,0.33509,0.604016131001352
0.3473405,0.22099,0.34042,0.6362344730890869
0.346115,0.23164,0.34318,0.6692573277667827
0.3660208,0.24032,0.33992,0.6565747083225871
0.3671536,0.24558,0.3303,0.6688753698724457
0.3484066,0.24591,0.32293,0.7058132653055367
0.3487767,0.24624,0.31556,0.7060104645751852
0.3475424,0.24926,0.30522,0.7172074543998086
0.3512366,0.25224,0.30099,0.7181483934191368
0.3361148,0.25602,0.30149,0.7617040368350338
0.3349554,0.26071,0.29993,0.7783424300668088
0.3533648,0.259955,0.297185,0.7356561830719981
0.353789,0.2592,0.29444,0.7326400764297363
0.3498042,0.26385,0.29602,0.7542791081410686
0.3368258,0.27724,0.30658,0.8230960929952514
0.3471836,0.28142,0.31363,0.8105797624081322
0.3491587,0.28019,0.32044,0.8024717700002892
0.3610924,0.282,0.321515,0.7809635428494203
0.3612227,0.28381,0.32259,0.7856925935164096
0.3659486,0.28211,0.31758,0.7709006128183029
0.3433409,0.27717,0.31893,0.8072734707691395
0.3542753,0.27631,0.32154,0.7799301842380769
0.3356115,0.27862,0.32814,0.8301860931463909
0.3368577,0.280825,0.335145,0.8336606228683506
0.3369842,0.28303,0.34215,0.8398910097268655
0.3611532,0.28748,0.34624,0.7960056840144294
0.368541,0.29492,0.3506,0.8002366086812593
0.3577259,0.30139,0.35391,0.8425165748412402
0.3575919,0.30627,0.3517,0.8564791316581835
0.3563606,0.311435,0.35373,0.8739321911569349
0.3468813,0.3166,0.35576,0.9127041440400505
0.337841,0.3268,0.35857,0.9673189458946664
0.3458378,0.32749,0.35208,0.946946805699088
0.3382231,0.32077,0.34452,0.9483976700586092
0.3458421,0.30724,0.33747,0.8883822993209908
0.3377821,0.301835,0.336145,0.8935790262420656
0.338211,0.29643,0.33482,0.8764646921596283
0.3532567,0.29231,0.3362,0.827471920560884
0.3533585,0.28833,0.33138,0.8159701832558152
0.3482772,0.28469,0.31972,0.8174235924717438
0.3485996,0.28362,0.31107,0.8135981796881006
0.3635748,0.279215,0.30742,0.7679712675355937
0.350381,0.27481,0.30377,0.784317642794558
0.3817416,0.24705,0.2935,0.6471655171980208
0.3814185,0.21226,0.28424,0.5565015855287565
0.3845961,0.18396,0.2871,0.47831998296394584
0.388562,0.16101,0.30312,0.4143740252520833
0.4050936,0.14977,0.312405,0.3697170234237223
0.4154097,0.13853,0.32169,0.3334780097816685
0.4208771,0.11832,0.33761,0.28112719841492917
0.4288704,0.09927,0.34507,0.23146852755517752
0.4145613,0.08177,0.34999,0.19724465356510604
0.4146207,0.0697,0.36137,0.16810545156090856
0.4069273,0.069655,0.366805,0.1711730817765237
0.4159598,0.07243,0.37449,0.1741274036577573
0.413639,0.07269,0.37334,0.1757329458779274
0.4078696,0.07449,0.37284,0.18263189999941157
0.40789,0.07866,0.37293,0.1928461104709603
0.4219413,0.0781,0.371125,0.18509683692968668
0.4098403,0.07754,0.36932,0.18919564523059348
0.4085983,0.07494,0.36594,0.18340751784821424
0.4099118,0.06976,0.36159,0.17018295155201682
0.4246103,0.06792,0.35705,0.15995843718345973
0.4204443,0.07164,0.35439,0.17039117904559534
0.4193121,0.072135,0.35212,0.1720317634525691
